Team 1,Team 2,Winning Team,Winning Score,Losing Score,Map Played
Conquest,CLG,CLG,12,16,dust2
compLexity,Liquid,Liquid,9,16,cache
Splyce,Cloud9,Cloud9,8,16,cache
Conquest,Liquid,Liquid,8,16,cache
compLexity,Cloud9,Cloud9,11,16,overpass
Luminosity,Winterfox,Luminosity,16,9,overpass
Reason,ESC,Reason,16,14,cache
fnatic,mousesports,mousesports,9,16,overpass
Virtus.pro,mousesports,mousesports,2,16,inferno
Virtus.pro,Titan,Virtus.pro,16,13,train
mousesports,PENTA,mousesports,16,13,overpass
mousesports,NiP,mousesports,16,8,mirage
Titan,PENTA,Titan,16,9,dust2
Enemy,Liquid,Liquid,13,16,mirage
Luminosity,CLG,Luminosity,16,10,cobblestone
Conquest,Cloud9,Cloud9,6,16,dust2
Luminosity,Splyce,Luminosity,16,12,cobblestone
3sUP,Liquid,Liquid,14,16,cobblestone
Splyce,Luminosity,Luminosity,11,16,train
3sUP,CLG,3sUP,16,13,cobblestone
compLexity,Cloud9,Cloud9,12,16,cache
EnVyUs,SK,EnVyUs,16,11,dust2
SK,NiP,SK,16,12,mirage
neXtPlease!,eSuba,eSuba,14,16,cache
EnVyUs,HellRaisers,EnVyUs,16,9,cobblestone
nerdRage,eSuba,eSuba,12,16,mirage
Epiphany Bolt,RCTIC,Epiphany Bolt,16,4,cobblestone
TheMongolz,nxl,TheMongolz,16,3,dust2
TheMongolz,Insidious,TheMongolz,16,2,cache
nxl,TyLoo,TyLoo,6,16,mirage
nxl,TheMongolz,nxl,16,8,mirage
Insidious,TyLoo,TyLoo,14,16,cache
KoN Denmark,KoN,KoN Denmark,16,12,cache
KoN Denmark,KoN,KoN Denmark,16,9,dust2
KoN Norway,KoN,KoN,5,16,cache
compLexity,CLG,compLexity,16,3,train
SKDC,CLG,CLG,11,16,dust2
Method,SKDC,SKDC,13,16,overpass
CLG,Cloud9,CLG,16,12,cache
Enemy,Cloud9,Enemy,16,12,cache
Refuse,OnlineBOTS,OnlineBOTS,12,16,dust2
No Problem!,Refuse,No Problem!,19,17,cache
Space Soldiers,OnlineBOTS,OnlineBOTS,8,16,overpass
Epsilon,Lions,Epsilon,16,8,cache
EnVyUs,PENTA,EnVyUs,16,13,mirage
Space Soldiers,No,No,5,16,mirage
Refuse,OnlineBOTS,Refuse,19,15,cache
Winterfox,Liquid,Winterfox,16,11,mirage
Luminosity,CLG,Luminosity,16,4,cache
Winterfox,Liquid,Liquid,6,16,overpass
Enemy,CLG,CLG,6,16,dust2
Luminosity,3sUP,Luminosity,16,4,inferno
Winterfox,Cloud9,Cloud9,12,16,overpass
Luminosity,Liquid,Liquid,6,16,cobblestone
Splyce,compLexity,compLexity,16,21,inferno
Conquest,Enemy,Conquest,16,6,mirage
Lions,BX3,Lions,16,7,train
PENTA,NiP,NiP,7,16,cache
Epiphany Bolt,Reason,Reason,6,16,inferno
HellRaisers,NiP,HellRaisers,16,12,overpass
uX,Epiphany,uX,16,9,cobblestone
EnVyUs,HellRaisers,EnVyUs,16,7,inferno
Reason,ESC,Reason,16,9,cache
Reason,uX,uX,13,16,mirage
TwistoFate,J2G,J2G,10,16,cache
Epiphany Bolt,ESC,Epiphany Bolt,16,5,mirage
inchk1ng,MVP.karnal,MVP.karnal,6,16,cobblestone
MVP.karnal,MiTH,MVP.karnal,16,6,dust2
Expendables,MVP.karnal,MVP.karnal,3,16,dust2
Liquid,CLG,CLG,12,16,inferno
compLexity,Winterfox,compLexity,16,2,mirage
3sUP,Cloud9,3sUP,16,12,train
Enemy,Winterfox,Enemy,25,22,cobblestone
SKDC,Conquest,Conquest,3,16,train
compLexity,Cloud9,compLexity,16,11,inferno
Splyce,Liquid,Splyce,16,14,mirage
mousesports,PENTA,mousesports,16,8,dust2
EnVyUs,NiP,NiP,9,16,cobblestone
Arcade,MaxAndRelax,Arcade,16,2,dust2
TSM,SK,TSM,16,11,overpass
dignitas,NiP,NiP,4,16,train
HellRaisers,TSM,TSM,14,16,cache
TSM,HellRaisers,TSM,16,11,inferno
Reason,MaxAndRelax,MaxAndRelax,10,16,cache
nxl,Threats,Threats,3,16,inferno
dream[S]cape,Wings,dream[S]cape,16,7,train
MiTH,m0nster,m0nster,8,16,train
Expendables,m0nster,m0nster,5,16,cache
KoN Sweden,KoN,KoN,8,16,dust2
KoN Sweden,KoN,KoN Sweden,16,11,inferno
KoN Norway,KoN,KoN,10,16,inferno
Natus Vincere,EnVyUs,EnVyUs,9,16,mirage
Titan,Virtus.pro,Virtus.pro,7,16,train
Space Soldiers,Arcade,Arcade,13,16,cobblestone
G2,TSM,TSM,6,16,dust2
Luminosity,fnatic,Luminosity,16,13,inferno
CLG,dignitas,CLG,16,14,cobblestone
NiP,Liquid,NiP,16,11,mirage
mousesports,FlipSid3,mousesports,16,8,overpass
Cloud9,Vexed,Cloud9,16,13,cobblestone
Arcade,stfuNerd,Arcade,16,11,mirage
CLG,Natus,Natus,12,16,cobblestone
dignitas,EnVyUs,EnVyUs,6,16,cobblestone
Titan,NiP,Titan,16,13,cobblestone
Liquid,Virtus.pro,Virtus.pro,15,19,cobblestone
mousesports,G2,G2,8,16,inferno
FlipSid3,TSM,TSM,6,16,cache
Cloud9,Luminosity,Luminosity,11,16,dust2
Vexed,fnatic,fnatic,10,16,cobblestone
uber noobz,ggrabb,ggrabb,17,19,cache
WildSource,Vega,Vega,12,16,mirage
Vega Squadron,PiTER,Vega Squadron,16,14,mirage
EnVyUs,mousesports,EnVyUs,16,14,overpass
fnatic,PENTA,fnatic,16,14,inferno
Aftermatch,BX3,Aftermatch,16,14,cache
Natus Vincere,mousesports,mousesports,17,19,mirage
Natus Vincere,HellRaisers,Natus Vincere,16,8,train
PENTA,HellRaisers,PENTA,16,8,dust2
Titan,HellRaisers,HellRaisers,5,16,cache
CLG,Liquid,Liquid,11,16,train
Gosu,Leader-1,Gosu,16,13,inferno
Coastless,Liquid,Liquid,10,16,dust2
Enemy,Cloud9,Enemy,16,10,overpass
CLG,Cloud9,CLG,16,11,mirage
Coastless,Luminosity,Luminosity,17,19,cache
Quintic,Leader-1,Leader-1,8,16,inferno
Enemy,Luminosity,Luminosity,11,16,dust2
EnVyUs,TSM,TSM,9,16,inferno
Enso,GUS-Gaming,Enso,16,13,mirage
TSM,Virtus.pro,TSM,16,3,overpass
Virtus.pro,SK,Virtus.pro,16,13,cobblestone
Natus Vincere,SK,Natus Vincere,16,13,mirage
BulletsRage.Pro,k1ck,BulletsRage.Pro,16,11,inferno
Titan,NiP,Titan,19,17,dust2
SK,HellRaisers,SK,16,6,mirage
KoN Denmark,KoN,KoN,2,16,cache
KoN Denmark,KoN,KoN Denmark,16,9,cache
KoN Denmark,KoN,KoN Denmark,16,13,cache
Enemy,Winterfox,Winterfox,8,16,inferno
Method,Winterfox,Method,16,13,inferno
Method,Luminosity,Method,16,5,dust2
Splyce,Luminosity,Luminosity,10,16,mirage
Titan,SK,Titan,16,14,cache
TSM,fnatic,fnatic,20,22,mirage
PENTA,SK,SK,6,16,train
NiP,Natus,Natus,11,16,overpass
stfuNerd,PiTER,PiTER,6,16,mirage
Virtus.pro,PENTA,Virtus.pro,16,10,train
Natus Vincere,NiP,Natus Vincere,16,6,inferno
Conquest,Cloud9,Conquest,16,6,overpass
Winterfox,ex-eLevate,ex-eLevate,13,16,mirage
3sUP,Cloud9,Cloud9,6,16,cobblestone
Winterfox,3sUP,Winterfox,19,16,mirage
ex-eLevate,compLexity,compLexity,9,16,cobblestone
Cloud9,Liquid,Liquid,12,16,cobblestone
Winterfox,Luminosity,Winterfox,16,7,overpass
ESC,PiTER,PiTER,10,16,mirage
HellRaisers,fnatic,fnatic,13,16,cobblestone
fnatic,PENTA,fnatic,16,7,cobblestone
NiP,G2,NiP,16,10,cache
Titan,PENTA,Titan,16,3,inferno
Reaction,Publiclir.se,Publiclir.se,1,16,cache
Virtus.pro,TSM,Virtus.pro,16,5,overpass
fnatic,EnVyUs,EnVyUs,6,16,train
mousesports,NiP,NiP,8,16,cobblestone
Titan,G2,G2,11,16,dust2
Winterfox,Coastless,Coastless,7,16,train
Conquest,Enemy,Conquest,16,9,overpass
Liquid,Cloud9,Liquid,16,6,inferno
ex-eLevate,Liquid,Liquid,17,21,cobblestone
Splyce,Cloud9,Cloud9,8,16,cobblestone
fnatic,G2,fnatic,16,12,inferno
uPGaming.hellfive,Keyd,Keyd,8,16,dust2
EnVyUs,Titan,Titan,12,16,dust2
HellRaisers,G2,G2,10,16,cache
FTW.PRO,BulletsRage.Pro,BulletsRage.Pro,10,16,train
No Problem!,stfuNerd,No Problem!,21,17,mirage
Natus Vincere,Titan,Natus Vincere,16,13,train
fnatic,HellRaisers,fnatic,16,8,mirage
EnVyUs,TSM,EnVyUs,16,13,mirage
NiP,EnVyUs,NiP,16,14,dust2
Virtus.pro,HellRaisers,Virtus.pro,16,11,overpass
TSM,PENTA,TSM,16,1,cobblestone
PENTA,dignitas,dignitas,11,16,mirage
TSM,Virtus.pro,TSM,16,11,mirage
fnatic,Titan,Titan,10,16,train
Winterfox,Cloud9,Cloud9,11,16,cache
Splyce,CLG,CLG,14,16,mirage
BulletsRage.Pro,k1ck,k1ck,12,16,inferno
nerdRage,stfuNerd,stfuNerd,12,16,inferno
dignitas,SK,dignitas,16,8,cache
Keyd Stars,FTW.Evo,Keyd Stars,16,9,inferno
fnatic,Virtus.pro,fnatic,19,16,cache
dignitas,HellRaisers,dignitas,16,9,mirage
Natus Vincere,dignitas,Natus Vincere,16,5,overpass
SK,HellRaisers,HellRaisers,4,16,dust2
Method,3sUP,3sUP,13,16,mirage
Winterfox,Conquest,Conquest,14,16,cobblestone
Tectonic,Enemy,Enemy,5,16,train
Method,Conquest,Conquest,3,16,overpass
Tectonic,Roca's,Tectonic,16,8,mirage
Splyce,3sUP,Splyce,16,1,dust2
Suck Brick Kids,Tectonic,Tectonic,6,16,cache
Winterfox,compLexity,Winterfox,16,12,mirage
Suck Brick Kids,SetToDestroyX,Suck Brick Kids,16,13,mirage
Roca's compLexity,WinOut.net,Roca's compLexity,16,7,mirage
Splyce,compLexity,Splyce,16,13,dust2
Reap What You Sow,Roca's,Roca's,13,16,cache
TSM,dignitas,TSM,16,6,mirage
Forbidden,SetToDestroyX,SetToDestroyX,12,16,cobblestone
fnatic,Virtus.pro,fnatic,19,17,train
CLG Red,Suck,Suck,8,16,cobblestone
Dynasty,Reap,Reap,10,16,dust2
TSM,Natus,TSM,19,16,cache
Virtus.pro,PENTA,PENTA,8,16,cache
Roca's compLexity,Eanix,Roca's compLexity,16,5,cache
Virtus.pro,NiP,Virtus.pro,16,12,inferno
EnVyUs,Virtus.pro,EnVyUs,16,5,dust2
The Mooninites,Suck,Suck,20,22,cache
PENTA,HellRaisers,HellRaisers,3,16,overpass
Pugs not Drugs,Reap,Reap,7,16,cache
Renegades,Immunity,Renegades,16,9,cache
Animal Squad,fSociety,Animal Squad,21,18,cache
Exile5,Chiefs,Exile5,16,3,cobblestone
compLexity,Splyce,compLexity,25,21,cache
compLexity,Winterfox,compLexity,16,12,train
Splyce,3sUP,3sUP,10,16,train
Method,Conquest,Conquest,7,16,dust2
Winterfox,Conquest,Conquest,13,16,inferno
Method,3sUP,Method,16,1,train
PENTA,NiP,NiP,4,16,train
EnVyUs,PENTA,PENTA,12,16,overpass
dignitas,NiP,NiP,8,16,dust2
EnVyUs,dignitas,EnVyUs,16,8,cache
TyLoo,inchk1ng,TyLoo,16,11,cache
TSM,PENTA,TSM,16,3,inferno
MVP.karnal,Penguin,MVP.karnal,16,8,dust2
MVP.karnal,TyLoo,TyLoo,2,16,overpass
Penguin,inchk1ng,inchk1ng,4,16,mirage
Animal Squad,Chiefs,Chiefs,11,16,cache
Renegades,Exile5,Renegades,16,8,cache
Immunity,fSociety,Immunity,16,9,cache
KoN Norway,KoN,KoN,3,16,cache
KoN Norway,KoN,KoN Norway,16,14,cache
KoN Norway,KoN,KoN Norway,16,14,inferno
TheMongolz,TwistoFate,TheMongolz,16,4,cache
m0nster,J2G,J2G,10,16,dust2
m0nster,TheMongolz,TheMongolz,3,16,inferno
J2G,TwistoFate,TwistoFate,12,16,cache
fSociety,Exile5,fSociety,16,10,mirage
Luminosity,compLexity,Luminosity,21,19,cache
Renegades,Chiefs,Renegades,16,5,cobblestone
Immunity,Animal,Animal,9,16,mirage
Luminosity,Method,Luminosity,16,3,mirage
CLG,Winterfox,CLG,16,4,overpass
CLG,3sUP,3sUP,13,16,overpass
Liquid,compLexity,Liquid,16,12,train
Winterfox,Cloud9,Cloud9,3,16,overpass
Liquid,Luminosity,Liquid,16,9,overpass
Cloud9,compLexity,Cloud9,16,4,train
uPGaming.hellfive,AlienTech,AlienTech,9,16,inferno
mousesports,dignitas,dignitas,13,16,train
3v,FTW.PRO,FTW.PRO,10,16,dust2
fnatic,dignitas,fnatic,16,9,mirage
TSM,mousesports,TSM,16,13,dust2
TSM,Titan,TSM,16,13,cobblestone
Conquest,3sUP,3sUP,10,16,dust2
Liquid,3sUP,Liquid,16,14,cache
Enemy,compLexity,Enemy,16,14,inferno
Luminosity,Cloud9,Cloud9,7,16,overpass
Method,Winterfox,Winterfox,15,19,cache
compLexity,Liquid,Liquid,2,16,cache
Liquid,Cloud9,Cloud9,17,19,dust2
Winterfox,Luminosity,Luminosity,3,16,train
EnVyUs,NiP,EnVyUs,16,10,mirage
EnVyUs,fnatic,EnVyUs,16,5,cache
NiP,TSM,NiP,16,13,dust2
uPGaming.hellfive,Keyd,uPGaming.hellfive,16,11,cache
EnVyUs,Natus,Natus,13,16,train
Titan,TSM,TSM,5,16,overpass
Natus Vincere,Titan,Titan,13,16,overpass
fnatic,HellRaisers,HellRaisers,14,16,cache
EnVyUs,HellRaisers,HellRaisers,14,16,cobblestone
Natus Vincere,PENTA,PENTA,6,16,cache
compLexity,Luminosity,Luminosity,10,16,cobblestone
Method,CLG,CLG,11,16,cache
Winterfox,compLexity,compLexity,0,16,train
Winterfox,Liquid,Liquid,6,16,overpass
Conquest,Luminosity,Luminosity,11,16,mirage
Cloud9,ex-eLevate,Cloud9,16,6,dust2
ex-eLevate,Winterfox,ex-eLevate,16,5,dust2
Coast,Enemy,Enemy,4,16,train
3v,k1ck,k1ck,5,16,inferno
fnatic,TSM,TSM,3,16,dust2
Titan,EnVyUs,Titan,16,11,mirage
EnVyUs,G2,EnVyUs,16,10,dust2
Titan,mousesports,mousesports,8,16,mirage
FTW.Evo Prinfor,AlienTech,AlienTech,8,16,mirage
TSM,G2,TSM,21,19,dust2
fnatic,Titan,fnatic,16,2,overpass
Titan,mousesports,Titan,16,10,cache
Lions,Vega,Lions,16,12,overpass
EnVyUs,fnatic,EnVyUs,16,3,train
Natus Vincere,dignitas,dignitas,19,22,inferno
Vega Squadron,No,Vega Squadron,16,5,mirage
BulletsRage.Pro,FTW.PRO,BulletsRage.Pro,16,8,inferno
Sweden,Finland,Finland,5,16,dust2
Sweden,Denmark,Sweden,16,5,mirage
Sweden,Norway,Sweden,16,6,inferno
Canada,Norway,Canada,16,10,dust2
Poland,France,Poland,19,16,cobblestone
Belgium,Singapore,Belgium,16,6,dust2
Netherlands,USA,Netherlands,16,8,cache
Belgium,Canada,Canada,9,16,train
Netherlands,Poland,Poland,11,16,cache
Singapore,Norway,Norway,3,16,dust2
USA,France,France,4,16,dust2
Worst Players,Torpedo,Torpedo,12,16,mirage
Reason,Worst,Reason,16,14,mirage
Germany,Sweden,Germany,16,13,cache
Torpedo,European,Torpedo,16,3,cache
TSM,dignitas,TSM,16,3,dust2
Torpedo,Reason,Reason,10,16,cobblestone
European Misfits,Worst,Worst,7,16,mirage
Indonesia,Serbia,Indonesia,16,9,mirage
Indonesia,Germany,Germany,6,16,dust2
Sweden,Serbia,Sweden,16,7,inferno
Splyce,Enemy,Enemy,11,16,cobblestone
Method,Enemy,Method,16,5,cobblestone
Splyce,Liquid,Liquid,2,16,overpass
Method,Liquid,Liquid,4,16,cobblestone
fnatic,SK,fnatic,16,10,cobblestone
BX3,ESC,ESC,9,16,cache
dignitas,HellRaisers,dignitas,16,12,train
Epiphany Bolt,BX3,Epiphany Bolt,16,10,inferno
Choke,ESC,ESC,8,16,mirage
Epiphany Bolt,Choke,Epiphany Bolt,16,2,train
BX3,ESC,BX3,16,8,cache
Splyce,Enemy,Enemy,5,16,train
Method,Enemy,Enemy,7,16,inferno
Method,Liquid,Liquid,11,16,overpass
NiP,HellRaisers,HellRaisers,2,16,cobblestone
mousesports,dignitas,dignitas,15,19,cobblestone
NiP,Titan,NiP,21,16,cobblestone
G2,EnVyUs,EnVyUs,13,16,train
TSM,NiP,TSM,16,10,cobblestone
NiP,fnatic,fnatic,14,16,cobblestone
Worst Players,KILLERFISH,KILLERFISH,8,16,mirage
TSM,Titan,TSM,16,5,overpass
fnatic,Titan,Titan,13,16,train
HellRaisers,TSM,TSM,5,16,overpass
KILLERFISH,SkinsVault,KILLERFISH,16,3,cache
Animal Squad,Exile5,Exile5,8,16,mirage
Immunity,Chiefs,Immunity,16,13,cache
fSociety,Renegades,fSociety,16,14,dust2
Renegades,Animal,Animal,8,16,cache
Immunity,Exile5,Immunity,21,15,overpass
fSociety,Chiefs,fSociety,16,13,mirage
Coast,Cloud9,Cloud9,13,16,mirage
Luminosity,Conquest,Luminosity,16,11,train
Luminosity,Cloud9,Cloud9,6,16,train
EnVyUs,dignitas,EnVyUs,16,8,overpass
BX3,ESC,ESC,12,16,cache
dignitas,SK,dignitas,16,14,inferno
Epiphany Bolt,BX3,Epiphany Bolt,16,6,cache
EnVyUs,SK,EnVyUs,16,10,train
Playing Ducks,ESC,ESC,12,16,cache
HellRaisers,NiP,HellRaisers,16,11,cache
Epiphany Bolt,Playing,Epiphany Bolt,16,14,mirage
BX3,ESC,BX3,16,13,cache
Splyce,Winterfox,Splyce,16,9,cobblestone
Enemy,3sUP,3sUP,7,16,overpass
Splyce,Cloud9,Splyce,19,16,mirage
Winterfox,Cloud9,Cloud9,1,16,dust2
Luminosity,compLexity,compLexity,5,16,overpass
HellRaisers,Titan,HellRaisers,16,9,overpass
Titan,dignitas,dignitas,5,16,cobblestone
TSM,Virtus.pro,TSM,16,11,cache
No Problem!,XPC,No Problem!,16,6,inferno
Virtus.pro,Titan,Titan,14,16,inferno
HellRaisers,EnVyUs,EnVyUs,12,16,cobblestone
Worst Players,No,Worst Players,16,6,overpass
EnVyUs,Virtus.pro,EnVyUs,19,16,mirage
G2,TSM,TSM,5,16,dust2
LGB fe,XPC,XPC,2,16,mirage
EnVyUs,Natus,Natus,11,16,dust2
Virtus.pro,fnatic,Virtus.pro,16,10,dust2
LGB fe,Worst,Worst,1,16,mirage
XPC,No,No,2,16,mirage
Leader-1,CLG,Leader-1,16,14,mirage
Coast,Winterfox,Winterfox,7,16,cache
compLexity,Conquest,compLexity,19,17,cobblestone
Swarm,Enemy,Swarm,16,13,mirage
3sUP,compLexity,compLexity,17,19,mirage
Winterfox,Splyce,Splyce,6,16,train
ACE,CLG,CLG,6,16,cobblestone
G2,Titan,G2,16,2,train
Belgium,Sweden,Belgium,16,5,cobblestone
Titan,SK,Titan,16,9,cobblestone
Virtus.pro,EnVyUs,Virtus.pro,16,14,mirage
Slovakia,Russia,Slovakia,16,5,mirage
Iceland,Belgium,Belgium,11,16,dust2
Virtus.pro,Natus,Natus,8,16,mirage
mySemperFi,GRS.GP,mySemperFi,16,2,dust2
HellRaisers,NiP,NiP,2,16,dust2
Iceland,Bosnia,Iceland,16,4,dust2
United Kingdom,Finland,Finland,13,16,cache
Virtus.pro,SK,Virtus.pro,16,8,overpass
TSM,NiP,TSM,16,12,dust2
Norway,Bosnia,Bosnia,12,16,cache
Virtus.pro,HellRaisers,Virtus.pro,16,9,cobblestone
United Kingdom,Slovakia,United Kingdom,16,13,inferno
G2,NiP,G2,16,13,train
Norway,Iceland,Norway,16,8,cache
Germany,Finland,Finland,10,16,dust2
Germany,United,Germany,16,7,dust2
Games Academy,Splyce,Games Academy,16,11,mirage
GLG,United,United,9,16,mirage
GRS.GP,k1ck,GRS.GP,16,9,dust2
Russia,Germany,Russia,16,14,mirage
Sweden,Iceland,Sweden,16,12,train
fish123,Choke,fish123,16,8,mirage
Sweden,Norway,Sweden,16,14,dust2
Russia,United,Russia,16,4,mirage
Infused,XENEX,Infused,16,6,inferno
Belarus,Belgium,Belgium,11,16,dust2
Bosnia & Herzegovina,Belgium,Belgium,6,16,cobblestone
Turkey,Slovakia,Slovakia,2,16,cobblestone
Bosnia & Herzegovina,Belarus,Bosnia & Herzegovina,15,15,cache
Finland,Slovakia,Slovakia,6,16,mirage
Finland,Turkey,Finland,16,3,mirage
vVv,Method,Method,10,16,mirage
Games Academy,Method,Games Academy,16,13,cache
3sUP,Luminosity,Luminosity,4,16,inferno
ex-eLevate,Luminosity,Luminosity,7,16,cache
Enemy,compLexity,Enemy,16,5,train
Epiphany Bolt,ESC,ESC,10,16,cache
ex-eLevate,3sUP,ex-eLevate,16,5,dust2
Splyce,Games,Splyce,19,15,mirage
Swarm,compLexity,compLexity,3,16,train
XPC,ESC,ESC,11,16,mirage
Games Academy,vVv,Games Academy,16,11,mirage
Coast,3sUP,Coast,16,11,inferno
Conquest,Leader-1,Conquest,16,4,inferno
Luminosity,3sUP,Luminosity,16,6,cache
Splyce,Coast,Coast,3,16,inferno
Conquest,ACE,Conquest,16,10,cobblestone
Publiclir.se,LAN,LAN,14,16,mirage
TSM,NiP,TSM,16,5,train
fnatic,NiP,fnatic,16,14,dust2
fnatic,Natus,fnatic,16,4,cobblestone
TSM,Natus,Natus,10,16,train
Splyce,Method,Method,4,16,cache
Splyce,vVv,Splyce,16,3,dust2
Coast,compLexity,compLexity,7,16,train
United Estonia,fish123,United Estonia,16,12,mirage
Planetkey,LAN,LAN,6,16,cache
GLG,Choke,Choke,10,16,mirage
CeX,XENEX,XENEX,11,16,cache
Vault,Luminosity,Luminosity,3,16,dust2
CPH Wolves,G2,CPH Wolves,16,11,mirage
SK,CPH,CPH,13,16,cobblestone
G2,TSM,TSM,8,16,dust2
SK,G2,G2,13,16,inferno
CPH Wolves,TSM,TSM,5,16,overpass
EZskins.com,dignitas,dignitas,2,16,mirage
m0nster,AbsoluteTerror,m0nster,16,13,cobblestone
Renegades,EZskins.com,EZskins.com,11,16,dust2
MOTV,m0nster,m0nster,13,16,inferno
dignitas,EnVyUs,EnVyUs,6,16,mirage
Renegades,dignitas,dignitas,13,16,cobblestone
TwistoFate,nxl,nxl,10,16,cache
TwistoFate,Penguin,TwistoFate,16,14,mirage
EZskins.com,EnVyUs,EnVyUs,2,16,inferno
Miraculous Hawks,Insidious,Insidious,9,16,dust2
inchk1ng,Miraculous,Miraculous,8,16,dust2
MiTH,MVP.karnal,MVP.karnal,6,16,cobblestone
MiTH,DeToNator,MiTH,16,14,dust2
Coast,CLG,CLG,1,16,overpass
Enemy,CLG,CLG,5,16,mirage
compLexity,3sUP,3sUP,7,16,inferno
Method,Cloud9,Cloud9,7,16,train
Coast,Cloud9,Cloud9,8,16,inferno
Bosnia & Herzegovina,Sweden,Sweden,2,16,dust2
TSM,fnatic,fnatic,9,16,train
Belarus,Sweden,Belarus,16,10,mirage
Finland,Russia,Russia,13,16,mirage
EnVyUs,Titan,EnVyUs,16,8,mirage
Belarus,Norway,Norway,6,16,mirage
fnatic,HellRaisers,fnatic,16,9,dust2
Turkey,Russia,Turkey,16,3,mirage
RCTIC,uber,RCTIC,16,10,mirage
Belgium,Norway,Norway,12,16,cache
Turkey,United,Turkey,16,9,mirage
fnatic,NiP,NiP,13,16,cache
Belarus,Iceland,Iceland,14,16,cache
Turkey,Germany,Germany,10,16,cache
Slovakia,Germany,Germany,9,16,dust2
compLexity,Coast,compLexity,16,14,cobblestone
Vault,3sUP,Vault,16,8,cobblestone
Conquest,CLG,CLG,11,16,cobblestone
Vault,ex-eLevate,ex-eLevate,6,16,inferno
Conquest,Coast,Coast,9,16,cobblestone
compLexity,Method,Method,13,16,mirage
Enemy,Coast,Enemy,16,11,inferno
Splyce,Liquid,Liquid,4,16,inferno
Red Instinct,TS-Netteux,Red Instinct,16,14,dust2
uber g33ks,nerdRage,uber g33ks,16,6,mirage
Denmark,Poland,Denmark,16,10,cache
WE GOT GAME,TS-Netteux,WE GOT GAME,16,3,train
Netherlands,Hungary,Netherlands,16,13,mirage
mousesports,SK,mousesports,16,11,inferno
TSM,Titan,TSM,21,17,dust2
Red Instinct,WE,WE,13,16,cobblestone
France,Netherlands,France,16,10,cobblestone
mousesports,HellRaisers,mousesports,16,11,cobblestone
TSM,fnatic,fnatic,9,16,inferno
Hungary,Serbia,Hungary,16,8,mirage
TS-Netteux,LDLC,TS-Netteux,16,13,mirage
G2,fnatic,fnatic,12,16,inferno
SK,NiP,NiP,9,16,inferno
Romania,Denmark,Denmark,8,16,mirage
Ukraine,Serbia,Serbia,9,16,inferno
Romania,Kazakhstan,Kazakhstan,14,16,cache
EnVyUs,Titan,EnVyUs,16,7,train
TSM,SK,TSM,16,4,dust2
Ukraine,Hungary,Hungary,9,16,cobblestone
Portugal,Kazakhstan,Portugal,16,3,dust2
Netherlands,Ukraine,Netherlands,15,15,dust2
Portugal,Romania,Portugal,16,11,dust2
Method,CLG,CLG,6,16,inferno
Conquest,Liquid,Conquest,16,6,train
compLexity,CLG,compLexity,16,10,overpass
Swarm,Coast,Coast,8,16,cobblestone
compLexity,Enemy,compLexity,16,14,cache
unKnights,melty,melty,13,16,dust2
Asus ROG,unKnights,unKnights,0,16,train
France,Hungary,France,16,12,dust2
Dead Pixels,melty,Dead Pixels,16,10,cache
ESC,European,ESC,21,19,mirage
fnatic,mousesports,fnatic,16,8,inferno
TSM,EnVyUs,EnVyUs,12,16,inferno
Poland,Romania,Poland,16,8,mirage
Asus ROG,Dead,Dead,4,16,mirage
G2,HellRaisers,G2,21,17,cache
Natus Vincere,mousesports,Natus Vincere,16,5,inferno
Spain,Netherlands,Spain,16,9,cache
Natus Vincere,SK,Natus Vincere,16,11,cache
Serbia,Netherlands,Serbia,15,15,inferno
unKnights,melty,melty,12,16,cobblestone
TSM,HellRaisers,TSM,16,9,overpass
Titan,fnatic,fnatic,8,16,cobblestone
EnVyUs,NiP,NiP,8,16,train
Latvia,Denmark,Denmark,0,16,dust2
summa.gg,European,European,7,16,inferno
Serbia,Spain,Spain,8,16,mirage
Kazakhstan,Denmark,Kazakhstan,16,8,cache
Kazakhstan,Latvia,Latvia,8,16,dust2
Leader-1,ACE,ACE,8,16,cache
GLG,fish123,fish123,13,16,dust2
Serbia,France,France,7,16,inferno
United Estonia,Choke,United Estonia,16,8,inferno
Spain,France,France,5,16,inferno
Publiclir.se,Enervate,Enervate,16,19,cache
Kazakhstan,Poland,Kazakhstan,16,10,mirage
CeX,Infused,Infused,6,16,dust2
France,Ukraine,France,16,10,cobblestone
Latvia,Poland,Poland,10,16,cache
London Conspiracy,XPC,XPC,7,16,cache
Denmark,Portugal,Denmark,16,3,cache
PiTER,Gdansk,PiTER,16,4,mirage
Spain,Hungary,Hungary,5,16,dust2
Latvia,Portugal,Portugal,3,16,dust2
RCTIC,E-frag.net,E-frag.net,4,16,dust2
Latvia,Romania,Latvia,15,15,inferno
KOWABUNGA,x6tence,x6tence,7,16,cache
AWTR,Epsilon,AWTR,16,7,mirage
eaZyQuaL,Space,Space,3,16,cobblestone
KappaKappa,Night,Night,13,16,inferno
Vega Squadron,LDLC,LDLC,4,16,dust2
KILLERFISH,OverGaming,OverGaming,0,16,cache
Los Jefes,Worst,Worst,12,16,mirage
volgare,MIXCAT,MIXCAT,11,16,mirage
Insidious,Skyred,Skyred,5,16,mirage
TyLoo,nxl,TyLoo,19,15,inferno
MOTV,Insidious,Insidious,11,16,cache
